BHP,ULEZ,body,engine,fuel,mileage,owners,price,transmission,year,make,model,missing_BHP,sport,se,amg,tfsi,nav,tsi,tdi,premium,dci,m sport,sportback,edition,tech,crdi,tronic,cod,s line,bluetooth,leather,performance,2dr,3dr,4dr,5dr,dsg,speed,gti,gtd,gte,year_reg,age
114.0,ULEZ,Hatchback,1.0,Petrol,24638,2.0,12500,Manual,2017,Audi,A1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
148.0,ULEZ,Hatchback,1.4,Petrol,11527,2.0,15225,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,13386,2.0,13975,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
148.0,ULEZ,Hatchback,1.4,Petrol,22733,2.0,13650,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.6,Diesel,32538,2.0,12200,Automatic,2017,Audi,A1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,24057,2.0,12000,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.4,Petrol,25153,2.0,14500,Manual,2017,Audi,A1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
94.0,ULEZ,Hatchback,1.0,Petrol,28729,2.0,11975,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
114.0,ULEZ,Hatchback,1.4,Petrol,30789,2.0,16000,Automatic,2017,Audi,A1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,17627,2.0,14100,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
148.0,ULEZ,Hatchback,1.4,Petrol,26803,2.0,13575,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
94.0,ULEZ,Hatchback,1.0,Petrol,22736,2.0,11500,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67 reg,3
114.0,ULEZ,Hatchback,1.0,Petrol,21764,2.0,12400,Manual,2017,Audi,A1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,28568,2.0,13450,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,13052,2.0,12550,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,15801,2.0,14575,Automatic,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,67 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,9869,2.0,14300,Automatic,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
