BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202009224047457,22924,Audi A3 1.4 TFSI S Line 5dr Satellite Navigation,,"£16,500",Manual,2016 (66 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011015662481,27245,Audi A3 1.4L S line CoD TFSI 4dr,,"£15,650",Manual,2016 (66 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202008082241235,18446,Audi A3 1.4 TFSI 150 S Line 3dr [Nav] Bluetooth,,"£14,800",Manual,2016 (16 reg)
108.0,ULEZ,Saloon,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202008011967723,52602,Audi A3 1.6 TDI S LINE NAV 4d 109 BHP ** UK DELIVERY **,,"£11,844",Manual,2016 (16 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010054633239,27200,Audi A3 1.4 TFSI Sport 5dr Satellite Navigation,,"£13,850",Manual,2016 (66 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202009073434877,26363,Audi A3 1.4 TFSI S Line 3dr Bluetooth,,"£15,000",Manual,2016 (66 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202009033260876,35135,Audi A3 1.6 TDI S Line 5dr Satellite Navigation,,"£14,750",Manual,2016 (66 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011136080508,25157,Audi A3 1.4L S line CoD TFSI 3dr,,"£13,925",Manual,2016 (16 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010094784248,32140,Audi A3 1.4L Sport CoD TFSI 4dr,,"£13,200",Manual,2016 (66 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012076859837,35175,Audi A3 1.4L Sport CoD TFSI 5dr,,"£13,075",Manual,2016 (66 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202010225288357,26000,Audi A3 Sportback Sport 1.6 TDI 110 PS 6-speed 5dr,,"£13,500",Manual,2016 (66 reg)
,ULEZ,Saloon,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202012127037387,25150,Audi A3 1.6 TDI S Line 4dr Bluetooth,,"£16,300",Manual,2016 (66 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011266517772,33789,Audi A3 1.6 TDI S Line 5dr Satellite Navigation,,"£15,000",Manual,2016 (66 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012086904438,27879,Audi A3 1.4L Sport CoD TFSI 4dr,,"£14,850",Automatic,2016 (66 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010034541804,43576,Audi A3 1.4 TFSI Sport 5dr S Tronic Satellite Navigation,,"£13,800",Automatic,2016 (66 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011136096220,22127,Audi A3 1.6L SE Technik TDI 5dr,,"£12,450",Manual,2016 (66 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010074697459,28052,Audi A3 1.4L Sport CoD TFSI 5dr,,"£13,350",Manual,2016 (66 reg)
108.0,ULEZ,Saloon,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202009254179534,23066,Audi A3 1.6L S line TDI 4dr,,"£15,950",Manual,2016 (66 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202010175125599,16942,Audi A3 1.0 TFSI Sport 5dr Satellite Navigation,,"£13,500",Manual,2016 (16 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010305616171,31173,Audi A3 1.4L S line CoD TFSI 4dr,,"£15,300",Manual,2016 (66 reg)
108.0,ULEZ,Saloon,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202010235363783,32664,Audi A3 1.6L S line TDI 4dr,,"£16,900",Automatic,2016 (66 reg)
,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012106970438,38814,Audi A3 2.0 TDI BLACK EDITION 3d 148 BHP HEATED SEATS! …,,"£18,991",Automatic,2017 (17 reg)
,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011276545890,32300,Audi A3 2.0 TDI Sport Sportback (s/s) 5dr,,"£13,990",Manual,2017 (67 reg)
148.0,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010134958522,47206,Audi A3 2.0 TDI 150 Sport 4dr Navigation - Full Service History,,"£12,999",Manual,2017 (17 reg)
,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012157114561,49299,Audi A3 2.0 TDI S Line 5dr Satellite Navigation,,"£14,650",Manual,2017 (17 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012157121696,32095,Audi A3 1.4L S line CoD TFSI 4dr,,"£15,975",Manual,2017 (17 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009304401459,73228,Audi A3 1.5 TFSI SPORT 5d 148 BHP HEATED MIRRORS - CRUISE …,,"£13,000",Automatic,2017 (67 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202012167147661,32113,Audi A3 1.5 TFSI SE 5d 148 BHP,,"£11,699",Manual,2017 (17 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202012096914899,45589,Audi A3 1.5L SE CoD TFSI 5dr,,"£11,725",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202003048018699,28319,Audi A3 1.6 TDI 116 S Line 5dr,,"£14,634",Manual,2017 (17 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011246421258,20784,Audi A3 1.4L Sport CoD TFSI 3dr,,"£15,025",Automatic,2017 (66 reg)
114.0,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012157131412,20624,Audi A3 1L SE TFSI 5dr,,"£12,175",Manual,2017 (17 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011176219268,20632,Audi A3 1.4L Sport CoD TFSI 4dr,,"£14,350",Manual,2017 (17 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202009183914141,28170,Audi A3 Sportback Sport 1.6 TDI 110 PS 6-speed 5dr,,"£14,000",Manual,2017 (17 reg)
,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012106960899,14651,Audi A3 2.0 TDI Quattro S Line 5dr Satellite Navigation,,"£17,750",Manual,2017 (17 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011116003549,52395,Audi A3 1.5L Black Edition CoD TFSI 5dr,,"£16,375",Automatic,2017 (67 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202010245376641,19000,Audi A3 Sportback S line 1.5 TFSI 150 PS S tronic 5dr,,"£19,000",Automatic,2017 (67 reg)
201.0,ULEZ,Hatchback,1.4L,Hybrid – Petrol/Electric Plug-in,https://www.autotrader.co.uk/car-details/202011236408821,27968,Audi A3 1.4L e-tron TFSI 5dr,,"£16,750",Automatic,2017 (17 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202009143706947,34741,Audi A3 1.4L S line CoD TFSI 5dr,,"£15,475",Manual,2017 (17 reg)
114.0,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012096938614,21569,Audi A3 1L SE TFSI 5dr,,"£12,600",Manual,2017 (67 reg)
114.0,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202010155035384,31502,Audi A3 1L SE TFSI 5dr,,"£11,925",Manual,2017 (67 reg)
,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011055806027,27450,Audi A3 Sportback Sport 2.0 TDI 150 PS 6-speed 5dr,,"£14,500",Manual,2017 (17 reg)
114.0,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202009304416702,20000,Audi A3 1.0 SPORTBACK TFSI SE 5d 114 BHP XENONS + DAB + …,,"£12,990",Manual,2017 (17 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202010054619280,27733,Audi A3 1.5L Black Edition CoD TFSI 5dr,,"£18,275",Automatic,2017 (67 reg)
,ULEZ,Saloon,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202009023204182,34250,Audi A3 Saloon S line 1.6 TDI 116 PS 6-speed 4dr,,"£17,950",Manual,2017 (67 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202012157114424,36705,Audi A3 2.0 TFSI S Line 5dr S Tronic Satellite Navigation,,"£17,000",Automatic,2017 (17 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202007070947640,25571,Audi A3 1.6L Black Edition TDI 5dr,,"£17,525",Automatic,2017 (67 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012076862081,35401,Audi A3 1.4L Black Edition CoD TFSI 4dr,,"£17,650",Automatic,2017 (17 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011045769636,40200,Audi A3 Sportback SE Technik 1.6 TDI 110 PS 6-speed 5dr,,"£12,750",Manual,2017 (66 reg)
,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011246420932,44944,Audi A3 Sportback S line 2.0 TDI 150 PS 6-speed 5dr,,"£15,250",Manual,2017 (66 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011256486636,16645,Audi A3 1.0 TFSI SE 5dr,,"£12,799",Manual,2017 (67 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011055806026,35200,Audi A3 Sportback S line 2.0 TFSI 190 PS S tronic 5dr,,"£18,000",Automatic,2017 (66 reg)
148.0,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010094796041,23782,Audi A3 2L S line TDI 4dr,,"£17,425",Manual,2017 (67 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011105962877,22300,Audi A3 Sportback S line 1.5 TFSI 150 PS 6-speed 5dr,,"£19,000",Manual,2017 (67 reg)
