BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
114,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202010315634732,32538,Audi A1 1.6L Sport TDI 5dr,,"??12,200",Automatic,2017 (17 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012026685190,24057,Audi A1 1.4L Sport TFSI 5dr,,"??12,000",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010295568566,25153,Audi A1 1.4 TFSI 150 Black Edition 5dr Satellite Navigation,,"??14,500",Manual,2017 (17 reg)
94,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012207274872,28729,Audi A1 1L Sport TFSI 5dr,,"??11,975",Manual,2017 (67 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011186256216,30789,Audi A1 1.4 TFSI 150 Black Edition 5dr S Tronic Satellite ?€?,,"??16,000",Automatic,2017 (17 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011266494573,17627,Audi A1 1.4L S line TFSI 5dr,,"??14,100",Manual,2017 (67 reg)
148,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010074692910,26803,Audi A1 1.4L S line CoD TFSI 5dr,,"??13,575",Manual,2017 (17 reg)
94,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011126031474,22736,Audi A1 1L Sport TFSI 3dr,,"??11,500",Manual,2017 (67 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012227325055,21764,Audi A1 1.0 TFSI Sport 5dr Bluetooth,,"??12,400",Manual,2017 (67 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011226374178,28568,Audi A1 1.4L S line TFSI 5dr,,"??13,450",Manual,2017 (67 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011105984099,13052,Audi A1 1.4L Sport TFSI 5dr,,"??12,550",Manual,2017 (17 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011025703476,15801,Audi A1 1.4L S line TFSI 3dr,,"??14,575",Automatic,2017 (67 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012157132731,9869,Audi A1 1.4L Sport TFSI 5dr,,"??14,300",Automatic,2017 (17 reg)
114,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011156144558,25677,Audi A1 1.6L Sport TDI 3dr,,"??11,075",Manual,2017 (17 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011186242916,18997,Audi A1 1.4L Sport TFSI 5dr,,"??12,200",Manual,2017 (17 reg)
94,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011286570368,23858,Audi A1 1L SE TFSI 5dr,,"??11,100",Manual,2017 (17 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011236407422,19515,Audi A1 1.4L Sport TFSI 5dr,,"??12,550",Manual,2017 (67 reg)
114,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202012187235445,22747,Audi A1 1.6L SE TDI 3dr,,"??10,675",Manual,2017 (17 reg)
148,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010145006100,28842,Audi A1 1.4L Black Edition CoD TFSI 3dr,,"??13,900",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012056816374,25968,Audi A1 1.4 TFSI Sport 3dr,,"??11,699",Manual,2017 (17 reg)
93,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202009284320936,16272,Audi A1 1.0 SPORTBACK TFSI S LINE NAV 5d 93 BHP S LINE,,"??15,690",Manual,2018 (68 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011035747925,18093,Audi A1 1.4L Sport TFSI 3dr,,"??12,475",Manual,2018 (18 reg)
148,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012187213912,18479,Audi A1 1.4L Black Edition CoD TFSI 5dr,,"??16,450",Manual,2018 (67 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202010225288359,12890,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??21,250",Automatic,2018 (68 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012237360446,18000,Audi A1 1.4 TFSI Black Edition Sportback S Tronic (s/s) 5dr ?€?,2,"??16,150",Automatic,2018 (68 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202008283054641,11668,Audi A1 1.4L Sport TFSI 5dr,,"??13,450",Manual,2018 (68 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012177173564,17579,Audi A1 1.4L S line TFSI 3dr,,"??14,075",Manual,2018 (18 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010315649774,14163,Audi A1 1.4L Sport TFSI 5dr,,"??13,825",Manual,2018 (68 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012237349847,12250,Audi A1 Sport Nav 1.0 TFSI 95 PS 5-speed 3dr,,"??13,500",Manual,2018 (18 reg)
